president,subgroup,modeldate,startdate,enddate,pollster,grade,samplesize,population,weight,influence,approve,disapprove,adjusted_approve,adjusted_disapprove,multiversions,tracking,url,poll_id,question_id,createddate,timestamp
Joseph R. Biden Jr.,All polls,10/4/2021,4/7/2021,4/13/2021,Morning Consult,B,15000,a,.11559476,0,55,36,53.633492,39.303606,"",T,https://morningconsult.com/form/global-leader-approval/,74652,140625,4/15/2021,12:13:10  4 Oct 2021
Joseph R. Biden Jr.,All polls,10/4/2021,4/8/2021,4/12/2021,Rasmussen Reports/Pulse Opinion Research,B,1500,lv,.3708973,0,50,48,52.496072,41.692752,"",T,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,74632,140558,4/13/2021,12:13:10  4 Oct 2021
Joseph R. Biden Jr.,All polls,10/4/2021,4/8/2021,4/13/2021,McLaughlin & Associates,C/D,1000,lv,.76990828,0,57.5,40.5,56.152043,39.710868,"","",https://www.ammoland.com/2021/04/new-mclaughlin-poll-strong-2a-support-not-so-much-for-exec-orders/#axzz6sCmt62BU,74665,140643,4/16/2021,12:13:10  4 Oct 2021
Joseph R. Biden Jr.,All polls,10/4/2021,4/9/2021,4/13/2021,HarrisX,B+,3766,rv,1.4412611,0,61,39,56.698938,39.97354,"","",https://thehill.com/hilltv/what-americas-thinking/548704-poll-58-percent-approve-of-bidens-job-on-fighting-terrorism,74666,140653,4/16/2021,12:13:10  4 Oct 2021
Joseph R. Biden Jr.,All polls,10/4/2021,4/9/2021,4/12/2021,Civiqs,B-,1541,rv,1.4885865,0,48,47,50.18736,44.598111,"","",https://civiqs.com/documents/Civiqs_DailyKos_monthly_banner_book_2021_04_e12gh4.pdf,74635,140576,4/14/2021,12:13:10  4 Oct 2021
Joseph R. Biden Jr.,All polls,10/4/2021,4/9/2021,4/12/2021,Morning Consult,B,1992,rv,.10637678,0,59,37,57.633492,40.303606,"","",https://www.politico.com/f/?id=00000178-cfbd-d07a-ad78-dfbfde3a0000,74634,140561,4/14/2021,12:13:10  4 Oct 2021
Joseph R. Biden Jr.,All polls,10/4/2021,4/1/2021,4/21/2021,Gallup,B+,961,a,1.4844665,0,57,40,56.584219,39.163632,"","",https://news.gallup.com/poll/348974/biden-job-approval-respectable-100-days.aspx,74700,140749,4/23/2021,12:13:10  4 Oct 2021
Joseph R. Biden Jr.,All polls,10/4/2021,4/8/2021,4/14/2021,Morning Consult,B,15000,a,.11443285,0,54,37,52.633492,40.303606,"",T,https://morningconsult.com/form/global-leader-approval/,74687,140734,4/22/2021,12:13:10  4 Oct 2021
Joseph R. Biden Jr.,All polls,10/4/2021,4/11/2021,4/13/2021,Rasmussen Reports/Pulse Opinion Research,B,1500,lv,.20604761,0,50,48,52.496072,41.692752,"",T,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,74637,140579,4/14/2021,12:13:10  4 Oct 2021
Joseph R. Biden Jr.,All polls,10/4/2021,4/10/2021,4/13/2021,YouGov,B+,1500,a,.84762157,0,49,42,50.529125,42.428661,"","",https://docs.cdn.yougov.com/wvjmyy0dlk/econTabReport.pdf,74638,140580,4/14/2021,12:13:10  4 Oct 2021
Joseph R. Biden Jr.,All polls,10/4/2021,4/9/2021,4/15/2021,Morning Consult,B,15000,a,.11409318,0,54,37,52.633492,40.303606,"",T,https://morningconsult.com/form/global-leader-approval/,74688,140735,4/22/2021,12:13:10  4 Oct 2021
Joseph R. Biden Jr.,All polls,10/4/2021,4/10/2021,4/16/2021,Morning Consult,B,15000,a,.10758398,0,55,37,53.633492,40.303606,"",T,https://morningconsult.com/form/global-leader-approval/,74689,140736,4/22/2021,12:13:10  4 Oct 2021
Joseph R. Biden Jr.,All polls,10/4/2021,4/12/2021,4/14/2021,Rasmussen Reports/Pulse Opinion Research,B,1500,lv,.20680641,0,50,48,52.496072,41.692752,"",T,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,74642,140612,4/15/2021,12:13:10  4 Oct 2021
Joseph R. Biden Jr.,All polls,10/4/2021,4/11/2021,4/17/2021,Morning Consult,B,15000,a,.10199425,0,54,37,52.633492,40.303606,"",T,https://morningconsult.com/form/global-leader-approval/,74690,140737,4/22/2021,12:13:10  4 Oct 2021
Joseph R. Biden Jr.,All polls,10/4/2021,4/12/2021,4/16/2021,Ipsos,B-,4423,a,.90991023,0,55,40,53.942488,40.864153,"","",https://www.ipsos.com/sites/default/files/ct/news/documents/2021-05/Reuters%20Ipsos%20Large%20Issue%20Poll%20%232%20Topline%20%20Write-up%20-%20Biden%20100%20Days%20-%2012%20April%20thru%2016%20April%202021.pdf,74812,142360,5/19/2021,12:13:10  4 Oct 2021
Joseph R. Biden Jr.,All polls,10/4/2021,4/12/2021,4/16/2021,Ipsos,B-,4423,a,.90991023,0,55,40,53.942488,40.864153,"","",https://www.reuters.com/article/us-usa-biden-poll/biden-fares-better-than-trump-over-his-first-100-days-reuters-ipsos-poll-idUSKBN2CE12O,74717,140784,4/27/2021,12:13:10  4 Oct 2021
Joseph R. Biden Jr.,All polls,10/4/2021,4/13/2021,4/15/2021,Rasmussen Reports/Pulse Opinion Research,B,1500,lv,.20722969,0,49,49,51.496072,42.692752,"",T,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,74664,140644,4/16/2021,12:13:10  4 Oct 2021
Joseph R. Biden Jr.,All polls,10/4/2021,4/12/2021,4/18/2021,Morning Consult,B,15000,a,.09628601,0,54,37,52.633492,40.303606,"",T,https://morningconsult.com/form/global-leader-approval/,74691,140738,4/22/2021,12:13:10  4 Oct 2021
Joseph R. Biden Jr.,All polls,10/4/2021,4/14/2021,4/15/2021,Ipsos,B-,1005,a,.21485422,0,54,38,52.942488,38.864153,"","",https://www.ipsos.com/sites/default/files/ct/news/documents/2021-04/2021%20Reuters%20Tracking%20-%20Core%20Political%20Presidential%20Approval%20Tracker%2004%2015%202021.pdf,74657,140635,4/16/2021,12:13:10  4 Oct 2021
Joseph R. Biden Jr.,All polls,10/4/2021,4/14/2021,4/18/2021,Rasmussen Reports/Pulse Opinion Research,B,1500,lv,.12435668,0,50,48,52.496072,41.692752,"",T,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,74671,140664,4/19/2021,12:13:10  4 Oct 2021
Joseph R. Biden Jr.,All polls,10/4/2021,4/13/2021,4/19/2021,Morning Consult,B,15000,a,.0913422,0,54,38,52.633492,41.303606,"",T,https://morningconsult.com/form/global-leader-approval/,74692,140739,4/22/2021,12:13:10  4 Oct 2021
Joseph R. Biden Jr.,All polls,10/4/2021,4/14/2021,4/18/2021,Hart Research Associates,B-,1200,rv,1.3625562,0,57,43,55.495728,42.016423,"","",http://www.protectourcare.org/wp-content/uploads/2021/04/FI14074-Protect-Our-Care-April-2021.pdf,74709,140772,4/26/2021,12:13:10  4 Oct 2021
Joseph R. Biden Jr.,All polls,10/4/2021,4/14/2021,4/20/2021,Morning Consult,B,15000,a,.08701136,0,53,38,51.633492,41.303606,"",T,https://morningconsult.com/form/global-leader-approval/,74693,140740,4/22/2021,12:13:10  4 Oct 2021
Joseph R. Biden Jr.,All polls,10/4/2021,4/15/2021,4/19/2021,Morning Consult,B,2200,a,.08933166,0,58,35,56.633492,38.303606,*,"",https://assets.morningconsult.com/wp-uploads/2021/04/22091334/210477_crosstabs_MC_WASHINGTON_Adults_Adults_v1_LM.pdf,74674,140668,4/20/2021,12:13:10  4 Oct 2021
Joseph R. Biden Jr.,All polls,10/4/2021,4/15/2021,4/19/2021,Rasmussen Reports/Pulse Opinion Research,B,1500,lv,.37126688,0,50,49,52.496072,42.692752,"",T,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,74675,140670,4/20/2021,12:13:10  4 Oct 2021
Joseph R. Biden Jr.,All polls,10/4/2021,4/16/2021,4/19/2021,Morning Consult,B,2200,a,.08556485,0,57,36,55.633492,39.303606,"","",https://assets.morningconsult.com/wp-uploads/2021/04/30124505/210496_crosstabs_POLITICO_ADULTS_Adults_v1_SH.pdf,74677,140761,4/26/2021,12:13:10  4 Oct 2021
Joseph R. Biden Jr.,All polls,10/4/2021,4/15/2021,4/21/2021,Morning Consult,B,15000,a,.08334239,0,54,37,52.633492,40.303606,"",T,https://morningconsult.com/form/global-leader-approval/,74736,140863,4/29/2021,12:13:10  4 Oct 2021
Joseph R. Biden Jr.,All polls,10/4/2021,4/15/2021,4/20/2021,Change Research,B-,1025,rv,1.1539083,0,51,49,51.41388,46.396344,"","",https://twitter.com/ChangePolls/status/1387417629921529862,74730,140836,4/28/2021,12:13:10  4 Oct 2021
Joseph R. Biden Jr.,All polls,10/4/2021,4/16/2021,4/19/2021,HarrisX,B+,2881,rv,1.2179166,0,61,39,56.698938,39.97354,"","",https://thehill.com/hilltv/what-americas-thinking/549861-poll-biden-approval-steady-at-61-percent-as-100th-day,74699,140748,4/23/2021,12:13:10  4 Oct 2021
Joseph R. Biden Jr.,All polls,10/4/2021,4/17/2021,4/20/2021,YouGov,B+,1500,a,.7218671,0,49,38,50.529125,38.428661,"","",https://docs.cdn.yougov.com/e89wuts0a9/econTabReport.pdf,74683,140707,4/21/2021,12:13:10  4 Oct 2021
Joseph R. Biden Jr.,All polls,10/4/2021,4/16/2021,4/22/2021,Morning Consult,B,15000,a,.08040386,0,54,37,52.633492,40.303606,"",T,https://morningconsult.com/form/global-leader-approval/,74737,140864,4/29/2021,12:13:10  4 Oct 2021
Joseph R. Biden Jr.,All polls,10/4/2021,4/17/2021,4/20/2021,American Research Group,C+,1100,a,1.1012644,0,59,35,57.35993,36.529366,"","",https://americanresearchgroup.com/economy/,74684,140729,4/21/2021,12:13:10  4 Oct 2021
Joseph R. Biden Jr.,All polls,10/4/2021,4/18/2021,4/20/2021,Rasmussen Reports/Pulse Opinion Research,B,1500,lv,.20613228,0,50,48,52.496072,41.692752,"",T,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,74682,140697,4/21/2021,12:13:10  4 Oct 2021
Joseph R. Biden Jr.,All polls,10/4/2021,4/17/2021,4/20/2021,NBC News,B+,1000,a,1.273204,0,53,39,53.981596,38.746448,"","",https://www.documentcloud.org/documents/20690434-210098-nbc-news-april-poll-4-25-21-release,74703,140752,4/25/2021,12:13:10  4 Oct 2021
Joseph R. Biden Jr.,All polls,10/4/2021,4/18/2021,4/21/2021,ABC News/The Washington Post,A+,1007,a,1.9896193,0,52.21,42.09,52.930846,41.630106,"","",https://www.washingtonpost.com/context/april-18-21-2021-washington-post-abc-news-poll/72d8dab8-8a54-4468-a964-b7326876814d/?itid=lk_inline_manual_2,74702,140751,4/25/2021,12:13:10  4 Oct 2021
Joseph R. Biden Jr.,All polls,10/4/2021,4/18/2021,4/21/2021,Fox News,A,1002,rv,1.78809,0,54,43,52.854618,42.418794,"","",https://static.foxnews.com/foxnews.com/content/uploads/2021/04/Fox_April-18-21-2021_National_Topline_April-25-Release.pdf,74701,140750,4/25/2021,12:13:10  4 Oct 2021
Joseph R. Biden Jr.,All polls,10/4/2021,4/19/2021,4/21/2021,Rasmussen Reports/Pulse Opinion Research,B,1500,lv,.20683089,0,50,49,52.496072,42.692752,"",T,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,74686,140733,4/22/2021,12:13:10  4 Oct 2021
Joseph R. Biden Jr.,All polls,10/4/2021,4/19/2021,4/21/2021,Marist College,A,1809,a,2.3924341,0,54,44,55.04854,43.782817,"","",http://maristpoll.marist.edu/wp-content/uploads/2021/04/Marist-Poll_USA-NOS-and-Tables_202104221355.pdf#page=3,74722,140790,4/27/2021,12:13:10  4 Oct 2021
Joseph R. Biden Jr.,All polls,10/4/2021,4/17/2021,4/23/2021,Morning Consult,B,15000,a,.07771902,0,54,37,52.633492,40.303606,"",T,https://morningconsult.com/form/global-leader-approval/,74738,140865,4/29/2021,12:13:10  4 Oct 2021
Joseph R. Biden Jr.,All polls,10/4/2021,4/16/2021,4/23/2021,Echelon Insights,B/C,1043,rv,1.2236782,0,54,43,53.275019,42.579974,"","",https://echeloninsights.com/in-the-news/april-omnibus-political/,74731,140837,4/28/2021,12:13:10  4 Oct 2021
Joseph R. Biden Jr.,All polls,10/4/2021,4/18/2021,4/24/2021,Morning Consult,B,15000,a,.074975,0,54,37,52.633492,40.303606,"",T,https://morningconsult.com/form/global-leader-approval/,74739,140866,4/29/2021,12:13:10  4 Oct 2021
Joseph R. Biden Jr.,All polls,10/4/2021,4/20/2021,4/22/2021,Rasmussen Reports/Pulse Opinion Research,B,1500,lv,.20719372,0,52,46,54.496072,39.692752,"",T,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,74697,140745,4/23/2021,12:13:10  4 Oct 2021
Joseph R. Biden Jr.,All polls,10/4/2021,4/20/2021,4/22/2021,Morning Consult,B,2200,a,.07697434,0,58,35,56.633492,38.303606,"","",https://assets.morningconsult.com/wp-uploads/2021/04/22145124/2104104_crosstabs_MC_WASHINGTON_CHAUVIN_VERDICT_Adults_v1_LM.pdf,74694,140741,4/22/2021,12:13:10  4 Oct 2021
Joseph R. Biden Jr.,All polls,10/4/2021,4/19/2021,4/25/2021,Morning Consult,B,15000,a,.07253153,0,54,36,52.633492,39.303606,"",T,https://morningconsult.com/form/global-leader-approval/,74740,140867,4/29/2021,12:13:10  4 Oct 2021
Joseph R. Biden Jr.,All polls,10/4/2021,4/21/2021,4/22/2021,Ipsos,B-,1004,a,.32937902,0,54,39,52.942488,39.864153,"","",https://www.ipsos.com/sites/default/files/ct/news/documents/2021-04/2021%20Ipsos%20Tracking%20-%20Core%20Political%20Presidential%20Approval%20Tracker%2004%2022%202021.pdf,74695,140742,4/22/2021,12:13:10  4 Oct 2021
Joseph R. Biden Jr.,All polls,10/4/2021,4/21/2021,4/23/2021,YouGov,B+,1000,a,.44662779,0,51,44,52.529125,44.428661,"","",https://polsci.umass.edu/toplines-and-crosstabs-april-2021-bidens-first-100-days,74708,140771,4/26/2021,12:13:10  4 Oct 2021
Joseph R. Biden Jr.,All polls,10/4/2021,4/20/2021,4/26/2021,Morning Consult,B,15000,a,.2806264,0,55,36,53.633492,39.303606,"",T,https://morningconsult.com/form/global-leader-approval/,74741,140868,4/29/2021,12:13:10  4 Oct 2021
Joseph R. Biden Jr.,All polls,10/4/2021,4/21/2021,4/24/2021,YouGov,B+,2527,a,1.1073479,0,58,42,59.529125,42.428661,"","",https://drive.google.com/file/d/1pv_2HXp1J11BuQneMXzwc31AmfmIqKx9/view,74704,140754,4/25/2021,12:13:10  4 Oct 2021
Joseph R. Biden Jr.,All polls,10/4/2021,4/21/2021,4/25/2021,Morning Consult,B,1986,rv,.06502114,0,57,37,55.633492,40.303606,"","",https://assets.morningconsult.com/wp-uploads/2021/04/26170508/2104106_crosstabs_MC_ENERGY_PARIS_ACCORD_RVs_v1_LM.pdf,74710,140775,4/27/2021,12:13:10  4 Oct 2021
Joseph R. Biden Jr.,All polls,10/4/2021,4/19/2021,4/27/2021,Morning Consult,B,22000,a,.72027442,0,57,36,55.633492,39.303606,"","",https://assets.morningconsult.com/wp-uploads/2021/07/26085513/2104130_crosstabs_MC_ENTERTAINMENT_MOVIE_THEATER_COMFORT_Adults_STACKED_v1_LM.pdf,75373,143773,7/27/2021,12:13:10  4 Oct 2021
Joseph R. Biden Jr.,All polls,10/4/2021,4/21/2021,4/25/2021,Rasmussen Reports/Pulse Opinion Research,B,1500,lv,.1244444,0,51,47,53.496072,40.692752,"",T,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,74707,140770,4/26/2021,12:13:10  4 Oct 2021
Joseph R. Biden Jr.,All polls,10/4/2021,4/21/2021,4/26/2021,CNN/SSRS,C,1004,a,.96676506,0,53,43,52.496725,42.538351,"","",http://cdn.cnn.com/cnn/2021/images/04/28/rel3bbiden100days.pdf,74726,140795,4/28/2021,12:13:10  4 Oct 2021
Joseph R. Biden Jr.,All polls,10/4/2021,4/22/2021,4/26/2021,Rasmussen Reports/Pulse Opinion Research,B,1500,lv,.37152954,0,50,48,52.496072,41.692752,"",T,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,74719,140786,4/27/2021,12:13:10  4 Oct 2021
Joseph R. Biden Jr.,All polls,10/4/2021,4/21/2021,4/27/2021,Morning Consult,B,15000,a,.07159094,0,55,36,53.633492,39.303606,"",T,https://morningconsult.com/form/global-leader-approval/,74742,140869,4/29/2021,12:13:10  4 Oct 2021
Joseph R. Biden Jr.,All polls,10/4/2021,4/23/2021,4/25/2021,Léger,B/C,1003,a,.96954592,0,51,39,51.094277,39.101524,"","",https://leger360.com/surveys/legers-north-american-tracker-april-27-2021/,74712,140779,4/27/2021,12:13:10  4 Oct 2021
Joseph R. Biden Jr.,All polls,10/4/2021,4/23/2021,4/25/2021,Research Co.,B-,1000,a,1.1700274,0,53,42,53.210026,41.664132,"","",https://researchco.ca/2021/04/27/healthcare-united-states/,74720,140787,4/27/2021,12:13:10  4 Oct 2021
Joseph R. Biden Jr.,All polls,10/4/2021,4/22/2021,4/26/2021,Global Strategy Group/GBAO (Navigator Research),B/C,989,rv,.80312623,0,53,44,52.502693,43.085188,"","",https://navigatorresearch.org/wp-content/uploads/2021/04/Navigator-Toplines-04.27.2021.pdf,74723,140792,4/28/2021,12:13:10  4 Oct 2021
Joseph R. Biden Jr.,All polls,10/4/2021,4/24/2021,4/26/2021,Morning Consult,B,14872,rv,0,0,57,39,55.633492,42.303606,"",T,https://morningconsult.com/2021/04/28/100-days-biden-report-card-polling/,74724,140793,4/28/2021,12:13:10  4 Oct 2021
Joseph R. Biden Jr.,All polls,10/4/2021,4/24/2021,4/26/2021,Morning Consult,B,1991,rv,.06775524,0,60,37,58.633492,40.303606,"","",https://assets.morningconsult.com/wp-uploads/2021/04/28071006/2104124_crosstabs_POLITICO_RVs_v1_LM.pdf,74725,140794,4/28/2021,12:13:10  4 Oct 2021
Joseph R. Biden Jr.,All polls,10/4/2021,4/22/2021,4/28/2021,Morning Consult,B,15000,a,.07292305,0,55,36,53.633492,39.303606,"",T,https://morningconsult.com/form/global-leader-approval/,74767,141933,5/6/2021,12:13:10  4 Oct 2021
Joseph R. Biden Jr.,All polls,10/4/2021,4/23/2021,4/29/2021,Morning Consult,B,15000,a,.07456153,0,55,36,53.633492,39.303606,"",T,https://morningconsult.com/form/global-leader-approval/,74768,141934,5/6/2021,12:13:10  4 Oct 2021
Joseph R. Biden Jr.,All polls,10/4/2021,4/25/2021,4/27/2021,YouGov,B+,1500,a,.66692459,0,51,39,52.529125,39.428661,"","",https://docs.cdn.yougov.com/40cminy7fl/econTabReport.pdf,74729,140814,4/28/2021,12:13:10  4 Oct 2021
Joseph R. Biden Jr.,All polls,10/4/2021,4/25/2021,4/27/2021,Rasmussen Reports/Pulse Opinion Research,B,1500,lv,.20617394,0,48,50,50.496072,43.692752,"",T,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,74728,140813,4/28/2021,12:13:10  4 Oct 2021
Joseph R. Biden Jr.,All polls,10/4/2021,4/24/2021,4/30/2021,Morning Consult,B,15000,a,.07630274,0,55,36,53.633492,39.303606,"",T,https://morningconsult.com/form/global-leader-approval/,74769,141935,5/6/2021,12:13:10  4 Oct 2021
Joseph R. Biden Jr.,All polls,10/4/2021,4/26/2021,4/28/2021,Rasmussen Reports/Pulse Opinion Research,B,1500,lv,.20685177,0,48,50,50.496072,43.692752,"",T,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,74734,140857,4/29/2021,12:13:10  4 Oct 2021
Joseph R. Biden Jr.,All polls,10/4/2021,4/26/2021,4/28/2021,HarrisX,B+,2819,rv,1.3331516,0,60,40,55.698938,40.97354,"","",https://thehill.com/hilltv/what-americas-thinking/551218-poll-presidential-approval-at-60-percent-as-biden-marks-100th,74747,140894,4/30/2021,12:13:10  4 Oct 2021
Joseph R. Biden Jr.,All polls,10/4/2021,4/25/2021,5/1/2021,Morning Consult,B,15000,a,.07785481,0,56,36,54.633492,39.303606,"",T,https://morningconsult.com/form/global-leader-approval/,74770,141936,5/6/2021,12:13:10  4 Oct 2021
Joseph R. Biden Jr.,All polls,10/4/2021,4/27/2021,4/29/2021,Rasmussen Reports/Pulse Opinion Research,B,1500,lv,.20719372,0,47,51,49.496072,44.692752,"",T,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,74743,140872,4/30/2021,12:13:10  4 Oct 2021
Joseph R. Biden Jr.,All polls,10/4/2021,4/27/2021,4/29/2021,Harris Poll,B+,932,rv,.45911101,0,59.5,39,55.198938,39.97354,*,"",https://harvardharrispoll.com/wp-content/uploads/2021/05/April2021_HHP_RegisteredVoters_Topline.pdf,74752,140900,5/3/2021,12:13:10  4 Oct 2021
Joseph R. Biden Jr.,All polls,10/4/2021,4/27/2021,4/28/2021,Ipsos,B-,1005,a,.5069359,0,55,38,53.942488,38.864153,"","",https://www.ipsos.com/sites/default/files/ct/news/documents/2021-04/2021%20Ipsos%20Tracking%20-%20Core%20Political%20Presidential%20Approval%20Tracker%2004%2028%202021.pdf,74733,140856,4/28/2021,12:13:10  4 Oct 2021
Joseph R. Biden Jr.,All polls,10/4/2021,4/27/2021,4/29/2021,YouGov,B+,1558,a,.72215444,0,54,37,55.529125,37.428661,"","",https://docs.cdn.yougov.com/zqtorzsjjh/yahoonews_20210430_tabs.pdf,74748,140895,5/1/2021,12:13:10  4 Oct 2021
Joseph R. Biden Jr.,All polls,10/4/2021,4/27/2021,4/28/2021,Morning Consult,B,2200,a,.07993094,0,60,33,58.633492,36.303606,"","",https://assets.morningconsult.com/wp-uploads/2021/04/29145301/2104131_crosstabs_MC_ENTERTAINMENT_AWARDS_SEASON_Adults_v1_SH.pdf,74744,140874,4/30/2021,12:13:10  4 Oct 2021
Joseph R. Biden Jr.,All polls,10/4/2021,4/26/2021,5/2/2021,Morning Consult,B,15000,a,.07970793,0,56,36,54.633492,39.303606,"",T,https://morningconsult.com/form/global-leader-approval/,74771,141937,5/6/2021,12:13:10  4 Oct 2021
Joseph R. Biden Jr.,All polls,10/4/2021,4/28/2021,4/30/2021,IBD/TIPP,A+,1300,a,2.3897197,0,51,32,51.374599,36.182835,"","",https://www.investors.com/news/biden-approval-rating-dips-again-still-a-honeymoon-ibd-tipp-poll-may-2021/,74751,140899,5/3/2021,12:13:10  4 Oct 2021
Joseph R. Biden Jr.,All polls,10/4/2021,4/28/2021,5/2/2021,Rasmussen Reports/Pulse Opinion Research,B,1500,lv,.12441928,0,48,49,50.496072,42.692752,"",T,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,74750,140898,5/3/2021,12:13:10  4 Oct 2021
Joseph R. Biden Jr.,All polls,10/4/2021,4/27/2021,5/3/2021,Morning Consult,B,15000,a,.08153572,0,56,36,54.633492,39.303606,"",T,https://morningconsult.com/form/global-leader-approval/,74772,141938,5/6/2021,12:13:10  4 Oct 2021
Joseph R. Biden Jr.,All polls,10/4/2021,4/29/2021,5/3/2021,AP-NORC,"",1842,a,1.9517765,0,63,36,59.424188,36.295043,"","",https://apnorc.org/projects/biden-continues-to-hold-on-to-high-approval-ratings/?utm_source=rss&utm_medium=rss&utm_campaign=biden-continues-to-hold-on-to-high-approval-ratings,74781,142073,5/10/2021,12:13:10  4 Oct 2021
Joseph R. Biden Jr.,All polls,10/4/2021,4/29/2021,5/2/2021,Morning Consult,B,2200,a,.08569582,0,55,38,53.633492,41.303606,"","",https://assets.morningconsult.com/wp-uploads/2021/05/06114602/2104152_crosstabs_MC_HEALTH_Adults_v1_NP.pdf,74775,141941,5/7/2021,12:13:10  4 Oct 2021
Joseph R. Biden Jr.,All polls,10/4/2021,4/30/2021,5/2/2021,Morning Consult,B,2200,a,.08569582,0,53,39,51.633492,42.303606,"","",https://assets.morningconsult.com/wp-uploads/2021/05/12110511/2104154_crosstabs_MC_HEALTH_VACCINE_INCENTIVE_Adults_v1_NP.pdf,74792,142310,5/13/2021,12:13:10  4 Oct 2021
Joseph R. Biden Jr.,All polls,10/4/2021,4/28/2021,5/4/2021,Morning Consult,B,15000,a,.08346996,0,56,36,54.633492,39.303606,"",T,https://morningconsult.com/form/global-leader-approval/,74773,141939,5/6/2021,12:13:10  4 Oct 2021
Joseph R. Biden Jr.,All polls,10/4/2021,4/29/2021,5/3/2021,Rasmussen Reports/Pulse Opinion Research,B,1500,lv,.37141675,0,49,49,51.496072,42.692752,"",T,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,74755,140906,5/4/2021,12:13:10  4 Oct 2021
Joseph R. Biden Jr.,All polls,10/4/2021,4/29/2021,5/5/2021,Morning Consult,B,15000,a,.08652077,0,56,36,54.633492,39.303606,"",T,https://morningconsult.com/form/global-leader-approval/,74793,142311,5/13/2021,12:13:10  4 Oct 2021
Joseph R. Biden Jr.,All polls,10/4/2021,5/1/2021,5/3/2021,Morning Consult,B,2200,a,.088828,0,57,36,55.633492,39.303606,"","",https://assets.morningconsult.com/wp-uploads/2021/05/06145311/2104159_crosstabs_ADWEEK_OLYMPICS_Adults_v1.pdf,74780,142072,5/10/2021,12:13:10  4 Oct 2021
Joseph R. Biden Jr.,All polls,10/4/2021,4/30/2021,5/3/2021,Morning Consult,B,2200,a,.088828,0,55,37,53.633492,40.303606,"","",https://assets.morningconsult.com/wp-uploads/2021/05/21180312/2104156_crosstabs_MC_BRANDS_Adults_v1_NP-1.pdf,74753,142506,5/24/2021,12:13:10  4 Oct 2021
Joseph R. Biden Jr.,All polls,10/4/2021,4/30/2021,5/6/2021,Trafalgar Group,A-,1574,lv,2.2577503,0,48.3,47.5,49.87536,45.177656,"","",https://thetrafalgargroup.org/COSA-National-Trump-Biden-24-Report.pdf,74789,142302,5/12/2021,12:13:10  4 Oct 2021
Joseph R. Biden Jr.,All polls,10/4/2021,4/30/2021,5/6/2021,Morning Consult,B,15000,a,.09071008,0,56,36,54.633492,39.303606,"",T,https://morningconsult.com/form/global-leader-approval/,74794,142312,5/13/2021,12:13:10  4 Oct 2021
Joseph R. Biden Jr.,All polls,10/4/2021,5/1/2021,5/4/2021,YouGov,B+,1500,a,.80814283,0,48,42,49.529125,42.428661,"","",https://docs.cdn.yougov.com/lftymxzxfl/econTabReport.pdf,74759,141730,5/5/2021,12:13:10  4 Oct 2021
Joseph R. Biden Jr.,All polls,10/4/2021,5/2/2021,5/4/2021,Rasmussen Reports/Pulse Opinion Research,B,1500,lv,.20617394,0,50,47,52.496072,40.692752,"",T,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,74758,141684,5/5/2021,12:13:10  4 Oct 2021
Joseph R. Biden Jr.,All polls,10/4/2021,5/3/2021,5/4/2021,HarrisX,B+,939,rv,.60523168,0,60,40,55.698938,40.97354,"","",https://thehill.com/hilltv/what-americas-thinking/552001-poll-biden-approval-dips-when-it-comes-to-immigration,74779,142068,5/7/2021,12:13:10  4 Oct 2021
Joseph R. Biden Jr.,All polls,10/4/2021,5/1/2021,5/7/2021,Morning Consult,B,15000,a,.09528803,0,56,36,54.633492,39.303606,"",T,https://morningconsult.com/form/global-leader-approval/,74795,142313,5/13/2021,12:13:10  4 Oct 2021
Joseph R. Biden Jr.,All polls,10/4/2021,5/3/2021,5/5/2021,Rasmussen Reports/Pulse Opinion Research,B,1500,lv,.20685177,0,51,47,53.496072,40.692752,"",T,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,74766,141932,5/6/2021,12:13:10  4 Oct 2021
